RL;Jugador;País;Posc;Equipo;Comp;Edad;Nacimiento;PJ;Titular;Mín;90 s;Gls.;Ass;G+A;G-TP;TP;TPint;TA;TR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls.;Ast;G+A;G-TP;G+A-TP;xG;xAG;xG+xAG;npxG;npxG+xAG;;
6;Salis Abdul Samed;gh GHA;CC;Lens;fr Ligue 1;23-035;2000;29;29;2534;28.2;1;1;2;1;0;0;5;1;0.9;0.9;1.5;2.5;29;145;39;0.04;0.04;0.07;0.04;0.07;0.03;0.05;0.09;0.03;0.09;Partidos;5bc43860
7;Laurent Abergel;fr FRA;CC;Lorient;fr Ligue 1;30-088;1993;23;22;1809;20.1;0;1;1;0;0;0;6;1;0.4;0.4;1.1;1.5;9;99;11;0;0.05;0.05;0;0.05;0.02;0.05;0.08;0.02;0.08;Partidos;4cd41883
8;Oliver Abildgaard;dk DEN;CC;Hellas Verona;it Serie A;26-324;1996;6;2;197;2.2;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0;3;3;0;0;0;0;0;0;0.06;0.06;0;0.06;Partidos;4b7a9fcc
14;Christian Acella;it ITA;CC;Cremonese;it Serie A;20-297;2002;1;0;15;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Partidos;32c2d95f
20;Tyler Adams;us USA;CC;Leeds United;eng Premier League;24-075;1999;24;24;2156;24;0;0;0;0;0;0;6;1;0.1;0.1;1.4;1.5;19;136;20;0;0;0;0;0;0;0.06;0.06;0;0.06;Partidos;7978cbf0
31;Lucien Agoume;fr FRA;CC;Troyes;fr Ligue 1;21-080;2002;13;12;937;10.4;0;1;1;0;0;0;5;0;0.7;0.7;1;1.8;8;80;9;0;0.1;0.1;0;0.1;0.07;0.1;0.17;0.07;0.17;Partidos;82464ce3
33;Álvaro Aguado;es ESP;CC;Valladolid;es La Liga;26-364;1996;28;13;1444;16;1;2;3;1;0;0;3;0;0.7;0.7;1.7;2.4;24;104;31;0.06;0.12;0.19;0.06;0.19;0.05;0.11;0.15;0.05;0.15;Partidos;31626657
38;Naouirou Ahamada;fr FRA;CC;Stuttgart;de Bundesliga;21-032;2002;17;17;1398;15.5;2;2;4;2;0;0;4;1;0.8;0.8;1.2;2.1;43;56;54;0.13;0.13;0.26;0.13;0.26;0.05;0.08;0.13;0.05;0.13;Partidos;8f5cdf66
40;Jean-Eudes Aholou;ci CIV;CC;Strasbourg;fr Ligue 1;29-041;1994;27;16;1271;14.1;3;1;4;3;0;0;4;1;1.1;1.1;0.9;2.1;24;44;37;0.21;0.07;0.28;0.21;0.28;0.08;0.07;0.15;0.08;0.15;Partidos;0e46fa2f
53;Jean-Daniel Akpa-Akpro;ci CIV;CC;Empoli;it Serie A;30-201;1992;17;12;960;10.7;0;0;0;0;0;0;8;2;0.4;0.4;0.7;1;14;32;31;0;0;0;0;0;0.03;0.06;0.1;0.03;0.1;Partidos;0e46fa2f
